airline,city,delay
Spirit Air Lines,Baltimore,19.063760806916427
Southwest Airlines Co.,Baltimore,14.321242864184967
Delta Air Lines Inc.,Baltimore,8.876310919185688
Atlantic Southeast Airlines,Baltimore,7.18475073313783
Hawaiian Airlines Inc.,Baltimore,0.0
American Eagle Airlines Inc.,Baltimore,17.8574144486692
Virgin America,Baltimore,0.0
United Air Lines Inc.,New York,15.700216037615961
American Airlines Inc.,New York,6.596647789028087
US Airways Inc.,New York,6.92501692620176
Frontier Airlines Inc.,New York,22.988276670574443
JetBlue Airways,New York,15.91921726041144
Skywest Airlines Inc.,New York,4.63265306122449
Alaska Airlines Inc.,New York,0.0
Spirit Air Lines,New York,15.95458440445587
Southwest Airlines Co.,New York,16.872353297035694
Delta Air Lines Inc.,New York,14.722837951301427
Atlantic Southeast Airlines,New York,15.94412807564199
Hawaiian Airlines Inc.,New York,0.0
American Eagle Airlines Inc.,New York,13.868471953578336
Virgin America,New York,11.440721649484535
United Air Lines Inc.,Tulsa,10.4
American Airlines Inc.,Tulsa,6.061814993423937
US Airways Inc.,Tulsa,0.0
Frontier Airlines Inc.,Tulsa,0.0
JetBlue Airways,Tulsa,0.0
Skywest Airlines Inc.,Tulsa,8.420523138832998
Alaska Airlines Inc.,Tulsa,0.0
Spirit Air Lines,Tulsa,0.0
Southwest Airlines Co.,Tulsa,9.137413962635202
Delta Air Lines Inc.,Tulsa,4.441233140655106
Atlantic Southeast Airlines,Tulsa,5.455306427503737
Hawaiian Airlines Inc.,Tulsa,0.0
American Eagle Airlines Inc.,Tulsa,12.849166062364032
Virgin America,Tulsa,113.0
United Air Lines Inc.,Little Rock,0.0
American Airlines Inc.,Little Rock,12.555555555555555
US Airways Inc.,Little Rock,0.0
Frontier Airlines Inc.,Little Rock,0.0
JetBlue Airways,Little Rock,0.0
Skywest Airlines Inc.,Little Rock,11.828817733990148
Alaska Airlines Inc.,Little Rock,0.0
Spirit Air Lines,Little Rock,0.0
Southwest Airlines Co.,Little Rock,8.673771204871683
Delta Air Lines Inc.,Little Rock,5.0576923076923075
Atlantic Southeast Airlines,Little Rock,8.629971590909092
Hawaiian Airlines Inc.,Little Rock,0.0
American Eagle Airlines Inc.,Little Rock,14.58351409978308
Virgin America,Little Rock,0.0
United Air Lines Inc.,New Orleans,10.750448028673835
American Airlines Inc.,New Orleans,5.975648916242975
US Airways Inc.,New Orleans,5.935364727608495
Frontier Airlines Inc.,New Orleans,18.362815884476536
JetBlue Airways,New Orleans,15.176151761517616
Skywest Airlines Inc.,New Orleans,9.067256637168141
Alaska Airlines Inc.,New Orleans,0.9486404833836858
